iata,n_flights,delay_rate,avg_delay,cancel_rate,avg_distance,name,lat,lon,cluster,anomalie
RAP,5233,0.1907256499805976,7.06150562669771,0.011847888400535066,571.8068029810815,Rapid City Regional Airport,44.0452995300293,-103.05699920654297,0,0
ORD,280052,0.23692854939111813,9.87565016968839,0.013515347149815034,781.5125012497679,Chicago O'Hare International Airport,41.9786,-87.9048,3,0
STT,5538,0.24809797736129152,14.868621265540916,0.010834236186348862,1252.863488624052,Cyril E. King Airport,18.337299346923828,-64.97339630126953,2,0
ATL,341910,0.19854469854469856,6.82433913203144,0.00997338480886783,680.554625486239,Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,3,0
OMA,23766,0.1847283281403389,6.1886124034316445,0.012118151981822771,732.223302196415,Eppley Airfield,41.3032,-95.894096,0,0
OGG,26543,0.1218972814275365,-0.809966828077935,0.010247522887390273,1203.3740345853898,Kahului Airport,20.8986,-156.429993,1,1
BUR,30636,0.18448498493527132,4.130450617488329,0.011555033294163729,572.1508682595639,Bob Hope Airport,34.20069885253906,-118.35900115966797,0,0
ICT,10276,0.18068843081171712,6.229312555478844,0.011191124951342935,551.641786687427,Wichita Eisenhower National Airport,37.649899,-97.433098,0,0
ALB,12042,0.18876044215678,6.072989621129019,0.01278857332668992,674.5337983723634,Albany International Airport,42.74829864501953,-73.80169677734375,0,0
DSM,15303,0.1897858757813539,8.258279026466285,0.015683199372672024,697.8566294190682,Des Moines International Airport,41.534000396728516,-93.66310119628906,0,0
SNA,43519,0.17378155170408283,4.394184017680586,0.009283301546450975,806.6549553068775,John Wayne Airport-Orange County Airport,33.67570114,-117.8679962,1,0
BHM,17233,0.18692579505300352,7.251707891637221,0.012127894156560088,557.166598967098,Birmingham-Shuttlesworth International Airport,33.56290054,-86.75350189,0,0
DAL,72674,0.22994145525508783,8.142904934485642,0.01081542229683243,729.1883479648843,Dallas Love Field,32.847099,-96.851799,3,0
SFB,9499,0.23945928548439008,9.568501233773201,0.01642278134540478,862.6511211706495,Orlando Sanford International Airport,28.777599334716797,-81.23750305175781,2,0
IAH,115940,0.24396015823679004,12.413005086182537,0.020303605313092978,979.915844402277,George Bush Intercontinental Houston Airport,29.984399795532227,-95.34140014648438,2,0
TUS,19128,0.16570012652889077,4.974957823703079,0.0069531576746131325,665.6139167712254,Tucson International Airport,32.1161003112793,-110.94100189208984,1,0
SYR,13376,0.1776205689943709,3.1162330746995286,0.015101674641148326,557.8170604066986,Syracuse Hancock International Airport,43.11119842529297,-76.1063003540039,0,0
BOS,143490,0.20383262910132433,4.108080707824065,0.014502752805073524,1036.1472646177433,General Edward Lawrence Logan International Airport,42.36429977,-71.00520325,3,0
DTW,131367,0.19215559307139057,5.584098425105802,0.010307002519658666,708.1337702771624,Detroit Metropolitan Wayne County Airport,42.212398529052734,-83.35340118408203,3,0
ONT,26175,0.15696192756197389,2.8362421808633873,0.008863419293218721,758.8965042979943,Ontario International Airport,34.055999755859375,-117.60099792480469,1,0
SMF,55052,0.1661227632736873,3.5389410384276916,0.007229528445833031,772.1231926178885,Sacramento International Airport,38.69540023803711,-121.59100341796875,1,0
SJU,35431,0.25778646132628436,13.828611653832892,0.01239027969856905,1451.068160650278,Luis Munoz Marin International Airport,18.4393997192,-66.0018005371,2,1
KOA,16327,0.11599776688791018,0.21022269090006823,0.011269675996815092,1116.040117596619,Ellison Onizuka Kona International At Keahole Airport,19.738783,-156.045603,1,0
SLC,113247,0.17321158129175945,3.7770066815144765,0.006234160728319514,820.0824216094024,Salt Lake City International Airport,40.78839874267578,-111.97799682617188,1,0
FAT,11795,0.18372591006423983,7.355203426124197,0.007460788469690547,606.1739720220432,Fresno Yosemite International Airport,36.77619934082031,-119.71800231933594,0,0
GSP,16322,0.17508564310183744,4.096792276549362,0.014213944369562553,421.4068741575787,Greenville Spartanburg International Airport,34.8956985474,-82.2189025879,0,0
IAD,52891,0.17652820187820475,3.4140500470511417,0.01353727477264563,1059.4513811423494,Washington Dulles International Airport,38.94449997,-77.45580292,1,0
MYR,16010,0.18182979810886787,4.82871198568873,0.020362273579013115,480.62760774515925,Myrtle Beach International Airport,33.6796989441,-78.9282989502,0,0
ROC,11936,0.18004783054321832,5.130765288691493,0.017258713136729224,453.7308981233244,Greater Rochester International Airport,43.118900299072266,-77.67240142822266,0,0
LEX,9138,0.1912598687868342,6.055487601467808,0.013241409498796236,442.5750711315386,Blue Grass Airport,38.0364990234375,-84.60590362548828,0,0
PSC,5233,0.13678337822239323,1.2735667564447866,0.004777374355054462,572.4693292566405,Tri Cities Airport,46.26470184326172,-119.11900329589844,1,0
LAX,194053,0.1876677279667332,4.359124140841988,0.008147258738592034,1307.9301943283535,Los Angeles International Airport,33.94250107,-118.4079971,3,0
SAT,41613,0.18083706879750536,6.345400506723836,0.011679042606877658,828.7216975464398,San Antonio International Airport,29.533700942993164,-98.46980285644531,0,0
GRR,18237,0.19371756960330302,5.561234168386989,0.01595657180457312,602.609749410539,Gerald R. Ford International Airport,42.88079834,-85.52279663,0,0
PHL,100635,0.2238071117414649,8.535497923209402,0.016703930044219207,890.548059820142,Philadelphia International Airport,39.87189865112305,-75.24109649658203,3,0
AMA,5086,0.1849041533546326,5.493410543130991,0.012780180888714117,364.7487219819111,Rick Husband Amarillo International Airport,35.219398,-101.706001,0,0
CVG,41270,0.18433304594161842,5.2336987313708585,0.013981100072692028,671.9275987400049,Cincinnati Northern Kentucky International Airport,39.0488014221,-84.6678009033,0,0
BZN,10203,0.19250594766058685,6.694885011895321,0.008036851906302067,819.0756640203862,Gallatin Field,45.77750015,-111.1529999,0,0
PNS,13364,0.1939969604863222,9.879255319148935,0.012496258605208022,541.6154594432804,Pensacola Regional Airport,30.473400115967,-87.186599731445,0,0
CLE,41106,0.17946492772309142,3.9670972700900053,0.017199435605507712,713.1167956016153,Cleveland Hopkins International Airport,41.4117012024,-81.8498001099,0,0
ILM,8069,0.18701036138488755,6.446171341925702,0.01747428429793035,409.2626099888462,Wilmington International Airport,34.270599365234375,-77.90260314941406,0,0
PSP,13807,0.1869131455399061,5.028609154929577,0.010067357137683784,727.9855870210763,Palm Springs International Airport,33.8297004699707,-116.50700378417969,0,0
RNO,20913,0.18164251207729468,5.968647342995169,0.008463635059532348,576.837326065127,Reno Tahoe International Airport,39.49909973144531,-119.76799774169922,0,0
VPS,9897,0.19057377049180327,9.20266393442623,0.011821764170960897,539.5398605638072,Destin-Ft Walton Beach Airport,30.4832,-86.525398,0,0
ECP,8380,0.20246585277408438,8.3742294210081,0.009665871121718378,503.5379474940334,Northwest Florida Beaches International Airport,30.357106,-85.795414,0,0
RDM,5916,0.20155306298533218,12.868852459016393,0.018762677484787018,575.8199797160244,Roberts Field,44.2541008,-121.1500015,0,0
PIE,8303,0.21235425452741255,7.357727611014637,0.026255570275803927,870.0450439600145,St Petersburg Clearwater International Airport,27.91020012,-82.68740082,2,0
STL,65597,0.19943798539379623,6.028903608319052,0.010747442718417,751.2949525130722,St Louis Lambert International Airport,38.748697,-90.370003,0,0
PIT,43831,0.17422749716034214,3.671434201070957,0.014236499281330564,666.2878556272957,Pittsburgh International Airport,40.49150085,-80.23290253,0,0
SAV,19120,0.18256753882152735,6.654222505849819,0.014382845188284518,562.4482217573221,Savannah Hilton Head International Airport,32.12760162,-81.20210266,0,0
CMH,42272,0.16378938282261546,2.7353138637126553,0.011378690386071158,662.1157030658592,John Glenn Columbus International Airport,39.998001,-82.891899,1,0
BNA,100220,0.19279549414481947,5.92740791766279,0.012702055477948513,732.9881560566753,Nashville International Airport,36.1245002746582,-86.6781997680664,0,0
XNA,13874,0.1885293688966623,7.278968080454744,0.008649272019605017,634.8852529912066,Northwest Arkansas Regional Airport,36.281898,-94.306801,0,0
RIC,18279,0.19399666481378544,6.749805447470817,0.013622189397669456,555.02844794573,Richmond International Airport,37.50519943237305,-77.3197021484375,0,0
OKC,22794,0.17306923657680864,4.764311409157526,0.01004650346582434,679.751250329034,Will Rogers World Airport,35.39310073852539,-97.60070037841797,0,0
CID,8135,0.2107255520504732,11.572618296529969,0.023601720958819915,626.7252612169638,The Eastern Iowa Airport,41.884700775146484,-91.71080017089844,2,0
SBA,7493,0.16530944625407165,6.946661237785016,0.014680368343787536,555.8271720272254,Santa Barbara Municipal Airport,34.42620087,-119.8399963,0,0
IND,47758,0.171264490056365,3.7256832925662025,0.013233384982620713,734.8448636877591,Indianapolis International Airport,39.7173,-86.294403,1,0
LIT,12657,0.20358371330293576,8.28501719862411,0.010270996286639805,526.8483842932765,Bill & Hillary Clinton National Airport/Adams Field,34.729400634799994,-92.2242965698,0,0
ELP,17494,0.17025089605734767,5.464620187304891,0.008345718532068138,615.0510460729392,El Paso International Airport,31.80719948,-106.3779984,0,0
PVD,14850,0.17359830635798676,4.876391449839514,0.011582491582491583,674.4579797979798,Theodore Francis Green State Airport,41.732601,-71.420403,0,0
SDF,24122,0.1782099206182536,5.056365240035281,0.010737086477074869,585.309675814609,Louisville International Standiford Field,38.1744,-85.736,0,0
MDT,5367,0.19040423120513789,6.986021911598035,0.01155207751071362,603.0152785541271,Harrisburg International Airport,40.1935005188,-76.7633972168,0,0
TYS,16281,0.17644850456763858,4.627268176698786,0.015785271174989252,498.7045636017444,McGhee Tyson Airport,35.81100082,-83.9940033,0,0
AVL,12082,0.2366569418225502,11.659344431096619,0.03120344313855322,475.29274954477734,Asheville Regional Airport,35.43619918823242,-82.54180145263672,2,0
SBP,5244,0.17316602316602317,8.363127413127414,0.009916094584286803,543.0461479786422,San Luis County Regional Airport,35.236801147499996,-120.641998291,0,0
ANC,18543,0.16572401295920047,1.6699247707429576,0.014938251631343364,1440.9191069406245,Ted Stevens Anchorage International Airport,61.174400329589844,-149.99600219726562,1,0
TLH,6097,0.18610090210491145,6.2439024390243905,0.017057569296375266,423.3298343447597,Tallahassee Regional Airport,30.396499633789062,-84.35030364990234,0,0
FAR,6715,0.18610608800482217,7.363471971066907,0.00967982129560685,631.376619508563,Hector International Airport,46.92070007324219,-96.81580352783203,0,0
LGB,17650,0.1464346833998859,0.4995436394751854,0.005155807365439093,757.6939943342776,Long Beach /Daugherty Field/ Airport,33.81769943,-118.1520004,1,0
ASE,7888,0.3054605173121664,20.62104830983988,0.0654158215010142,596.001014198783,Aspen-Pitkin Co/Sardy Field,39.22320175,-106.8690033,2,1
MAF,9481,0.17401093599228049,5.901790500696902,0.013289737369475793,398.96477164856026,Midland International Airport,31.9424991607666,-102.2020034790039,0,0
SRQ,16201,0.19177466957525985,8.933465930963685,0.03524473797913709,835.3285599654342,Sarasota Bradenton International Airport,27.39539909362793,-82.55439758300781,2,0
DEN,308645,0.22767914354156604,7.77080930458756,0.011291289345364415,865.284002656774,Denver International Airport,39.861698150635,-104.672996521,3,0
RDU,61316,0.20581744569996846,7.564355285645544,0.015069476156305042,645.704400156566,Raleigh Durham International Airport,35.877601623535156,-78.7874984741211,0,0
LAS,189252,0.2182945952165606,6.141726383841844,0.008824213218354363,974.6233223426965,McCarran International Airport,36.08010101,-115.1520004,3,0
TPA,78517,0.2212237519485453,9.82962836819974,0.025281149305245998,933.0785562362291,Tampa International Airport,27.975500106811523,-82.533203125,2,0
SFO,134978,0.22090992577872123,7.256838745615224,0.013283646223829068,1226.1620115870735,San Francisco International Airport,37.61899948120117,-122.375,3,0
MCO,159553,0.24412190095867092,10.650136313020774,0.018238453679968413,965.9143795478618,Orlando International Airport,28.429399490356445,-81.30899810791016,3,0
MKE,28694,0.17970326829786482,5.004497007896321,0.014009897539555307,748.4791245556562,General Mitchell International Airport,42.947200775146484,-87.89659881591797,0,0
PBI,29476,0.2310995670995671,11.813922077922077,0.017471841498168002,939.1012688288778,Palm Beach International Airport,26.68320083618164,-80.09559631347656,2,0
LIH,15957,0.11702127659574468,-0.9381332320162108,0.009274926364604875,1003.0397944475778,Lihue Airport,21.97599983215332,-159.33900451660156,1,0
HNL,61548,0.13709452246037612,1.1554898579288824,0.0095535192045233,1334.117631767076,Daniel K Inouye International Airport,21.32062,-157.924228,1,0
COS,12654,0.17874589573156083,4.810282694001762,0.01106369527422159,456.06535482851274,City of Colorado Springs Municipal Airport,38.805801,-104.700996,0,0
BUF,22166,0.18925665680473372,5.508783284023669,0.022196156275376702,582.4037264278625,Buffalo Niagara International Airport,42.94049835,-78.73220062,0,0
LBB,6190,0.17192636423405655,6.160749506903353,0.015024232633279483,359.94345718901457,Lubbock Preston Smith International Airport,33.663601,-101.822998,0,0
EUG,7211,0.16428470355171926,6.349511815480402,0.017195950630980446,660.174594369713,Mahlon Sweet Field,44.12459945678711,-123.21199798583984,0,0
HSV,8896,0.20716493075426348,8.540574567929495,0.014950539568345324,474.81160071942446,Huntsville International Carl T Jones Field,34.637199401855,-86.775100708008,0,0
CHA,6853,0.19497041420118344,7.660059171597633,0.012403327010068584,379.9352108565592,Lovell Field,35.035301208496094,-85.20379638671875,0,0
JAN,6867,0.18087778927146447,6.929658637505542,0.012523663899810689,430.40658220474734,Jackson-Medgar Wiley Evers International Airport,32.3111991882,-90.0758972168,0,0
MHT,5650,0.16424340333871837,3.224555735056543,0.010973451327433627,619.8056637168141,Manchester-Boston Regional Airport,42.932598,-71.435699,1,0
GEG,17527,0.14820143884892087,2.0360863309352517,0.0072459633707993385,678.6402122439664,Spokane International Airport,47.61989974975586,-117.53399658203125,1,0
PHX,193551,0.19143369399795693,5.393275585298226,0.006086251168942553,951.7355529033691,Phoenix Sky Harbor International Airport,33.43429946899414,-112.01200103759766,3,0
ABQ,24092,0.17035110533159947,4.291413230420739,0.008135480657479661,650.4477834965963,Albuquerque International Sunport,35.040199,-106.609001,1,0
MSN,11789,0.19215855234812582,8.269538991813873,0.013317499363813724,547.4846891169734,Dane County Regional Truax Field,43.13990020751953,-89.3375015258789,0,0
BWI,98572,0.24573526236234075,8.155402001007701,0.011433267053524328,810.0878849977681,Baltimore/Washington International Thurgood Marshall Airport,39.1754,-76.668297,3,0
ORF,21120,0.19503477588871715,7.34375,0.01699810606060606,490.9202178030303,Norfolk International Airport,36.89459991455078,-76.20120239257812,0,0
MEM,22624,0.17505725962186194,5.147887007679525,0.013525459688826026,665.9673797736916,Memphis International Airport,35.04240036010742,-89.97669982910156,0,0
OAK,41369,0.16851084572264197,1.9123568120887156,0.006889216563126979,733.6849573352027,Metropolitan Oakland International Airport,37.721298,-122.221001,1,0
SBN,6685,0.21306731647883034,8.9695400548279,0.015108451757666418,488.1896783844428,South Bend Regional Airport,41.70869827270508,-86.31729888916016,0,0
HOU,57058,0.20359377221669273,5.4228103227641125,0.012233166251884049,731.9921483402853,William P Hobby Airport,29.64539909,-95.27890015,0,0
PGD,6337,0.20960980328926151,8.266043211867139,0.01814738835411078,1009.1645889222029,Charlotte County Airport,26.92020035,-81.9905014,2,0
DFW,313582,0.2710315701660627,13.90851234390886,0.018613951055864175,808.4184838415471,Dallas Fort Worth International Airport,32.896801,-97.038002,3,1
CLT,217555,0.27041204800142005,13.90406255693045,0.013683896026292202,612.9755923789387,Charlotte Douglas International Airport,35.2140007019043,-80.94309997558594,3,1
MIA,109944,0.2783182636787286,14.296392566049647,0.017081423270028376,1049.0508531616094,Miami International Airport,25.79319953918457,-80.29060363769531,2,0
LGA,162432,0.18104734685618898,1.555301229197228,0.02367760047281324,741.7489287825059,La Guardia Airport,40.77719879,-73.87259674,3,0
RSW,34871,0.21229247615683505,9.255327917108207,0.023027730779157467,1002.4372687906857,Southwest Florida International Airport,26.53619956970215,-81.75520324707031,2,0
SEA,163724,0.21495303958048279,5.053077346937512,0.011073513962522293,1265.2977877403434,Seattle Tacoma International Airport,47.449001,-122.308998,3,0
DCA,140016,0.20051357780412754,5.559043261291801,0.015869614901154155,650.5470660495944,Ronald Reagan Washington National Airport,38.8521,-77.037697,3,0
JFK,123348,0.21055725759708538,3.945234743727747,0.018589681227097317,1216.8767957323994,John F Kennedy International Airport,40.63980103,-73.77890015,3,0
SAN,94645,0.23591092031124228,9.262173329755836,0.012795181995879338,1047.3154947435153,San Diego International Airport,32.7336006165,-117.190002441,3,0
EYW,7947,0.2625669147408278,18.202637420028726,0.027180067950169876,780.0604001510004,Key West International Airport,24.556100845336914,-81.75959777832031,2,1
